annotation,count
translocation and assembly module subunit TamB,1
translocation and assembly module subunit TamA,1
putative cadaverine/putrescine exporter,1
DNA-binding transcriptional repressor TreR,1
"accessory Sec system protein Asp1, partial",1
RNA polymerase sigma factor FecI,1
ferric citrate regulator FecR,1
ferric citrate outer membrane transporter,1
"accessory Sec system glycosyltransferase Asp1, partial",1
"DUF2500 family protein, partial",1
IS66-like element ISEbi1 family transposase,1
putative acetyltransferase TopAI antitoxin YjhQ,1
putative methyltransferase YjhP,1
putative endoglucanase with Zn-dependent exopeptidase domain,1
putative PTS enzyme IIC component SgcC,1
putative PTS enzyme IIA component SgcA,1
putative epimerase SgcE,1
putative DNA-binding transcriptional regulator SgcR,1
DNA-binding transcriptional dual regulator IdnR,1
putative 2-dehydro-3-deoxy-D-pentonate aldolase,1
putative transporter YjhF,1
putative DNA-binding transcriptional regulator YjhU,1
IS1 repressor protein InsA,1
ferric citrate ABC transporter periplasmic binding protein,1
ferric citrate ABC transporter membrane subunit FecC,1
ferric citrate ABC transporter membrane subunit FecD,1
ferric citrate ABC transporter ATP binding subunit,1
"2,7-anhydro-N-acetylneuraminate hydratase",1
"2,7-anhydro-N-acetylneuraminate transporter NanX",1
IS4 putative transposase,1
uncharacterized protein YjgZ,1
"D-gluconate kinase, thermosensitive",1
5-keto-D-gluconate 5-reductase,1
L-idonate/5-ketogluconate/gluconate transporter,1
putative DNA-binding transcriptional regulator YjhI,1
"N(6)-L-threonylcarbamoyladenine synthase, TsaE subunit",1
NAD(P)HX epimerase/NAD(P)HX dehydratase,1
phosphatidylserine decarboxylase proenzyme,1
DUF2645 domain-containing inner membrane protein YjeO,1
uncharacterized protein YjeN,1
putative transporter YjeM,1
EF-P-lysine lysyltransferase,1
fumarate reductase membrane protein FrdC,1
fumarate reductase membrane protein FrdD,1
protein chain elongation factor EF-P,1
protein YjeJ,1
DUF4156 domain-containing lipoprotein YjeI,1
cochaperonin GroES,1
L-methionine/branched chain amino acid exporter,1
stringent response modulator YtfK,1
C4-dicarboxylate transporter DcuA,1
copper binding protein CutA,1
thiol-disulfide exchange protein DsbD,1
DNA-binding transcriptional regulator DicD,1
DNA-binding transcriptional activator CadC,1
putative mucin-1 (MUC-1),1
sensor histidine kinase DcuS,1
DUF2238 domain-containing inner membrane protein YjdF,1
melibiose:H(+)/Na(+)/Li(+) symporter,1
DNA-binding transcriptional dual regulator MelR,1
"arginine decarboxylase, degradative",1
basic proline-rich protein,1
outer membrane lipocalin protein,1
"MULTISPECIES: NADH-quinone oxidoreductase subunit NuoN, partial",1
protein FxsA,1
PF09695 family protein YtfJ,1
"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase",1
putative transcriptional regulator YtfH,1
inner membrane protein YtfF,1
D-serine/alanine/glycine:H(+)symporter,1
DUF2686 domain-containing protein YjfZ,1
Isoniazid-inducible protein iniB,1
anthraniloyl-CoA monooxygenase,1
DUF1471 domain-containing protein YjfY,1
L-ascorbate specific PTS enzyme IIA component,1
L-ascorbate specific PTS enzyme IIB component,1
L-ascorbate specific PTS enzyme IIC component,1
L-ascorbate-6-phosphate lactonase,1
DNA-binding transcriptional repressor UlaR,1
putative demethylmenaquinone methyltransferase,1
protease activator YjfN,1
isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,1
peptide--spermidine ligase YjfC,1
"permease, major facilitator superfamily",1
DUF2170 domain-containing protein YjfI,1
23S rRNA 2'-O-ribose G2251 methyltransferase,1
RNase R,1
DNA-binding transcriptional regulator NsrR,1
DUF2065 domain-containing protein YjeT,1
ribosome rescue factor HflX,1
N-acetylmuramoyl-L-alanine amidase B,1
DUF1190 domain-containing protein YjfM,1
DUF350 domain-containing inner membrane protein YjfL,1
DUF2491 domain-containing protein YjfK,1
PspA family protein YjfJ,1
DUF1471 domain-containing putative lipoprotein BsmA,1
"orange carotenoid-binding protein, partial",1
uncharacterized protein YdgU,1
small protein MgtS,1
uncharacterized protein YncL,1
UPF0509 family protein YciZ,1
uncharacterized protein YciY,1
uncharacterized protein YmgJ,1
uncharacterized protein YmgI,1
cytochrome bd-II accessory subunit AppX,1
DUF3950 domain-containing protein YlcI,1
uncharacterized protein YlcH,1
uncharacterized protein YkfM,1
putative tRNA/rRNA methyltransferase YjtD,1
uncharacterized protein YjjY,1
N-acetyl-9-O-acetylneuraminate esterase,1
putative inner membrane protein CreD,1
"photosynthetic reaction center protein, partial",1
DNA-binding transcriptional regulator CreB,1
PF05981 family protein CreA,1
DNA-binding transcriptional dual regulator Rob,1
DNA-binding transcriptional repressor TrpR,1
DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,1
putative inner membrane protein Smp,1
serine/threonine-protein kinase toxin HipH,1
putative patatin-like phospholipase YjjU,1
osmotically inducible protein Y,1
peptide chain release factor RF3,1
pyrimidine 5'-nucleotidase YjjG,1
protein N-acetyltransferase RimI,1
DNA-binding transcriptional dual regulator ArcA,1
putative toxic peptide IbsB,1
toxic peptide IbsA,1
uncharacterized protein YoeI,1
small regulatory membrane protein AzuC,1
uncharacterized protein YobI,1
"MULTISPECIES: DUF6766 family protein, partial",1
host nuclease inhibitor,1
PII-type proteinase,1
uncharacterized protein IlvX,1
uncharacterized protein YrbN,1
toxic peptide IbsE,1
membrane toxin DinQ,1
uncharacterized protein YpfM,1
cytochrome bd-I accessory subunit CydH,1
"MULTISPECIES: Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain",1
methyltransferase FkbM family protein,1
uncharacterized protein YoaJ,1
putative membrane protein YoaK,1
putative lipoprotein RzoQ,1
uncharacterized protein YnbG,1
putative protein YmiB,1
putative membrane protein YkgR,1
PtsG glucose transporter inhibitor,1
uncharacterized protein YthA,1
RyhB-regulated fur leader peptide,1
putative lipoprotein YtcA,1
uncharacterized protein YjbS,1
PF17089 family protein YjbT,1
membrane-depolarizing toxin TisB,1
protein-arginine deiminase family,1
MULTISPECIES: photosystem I reaction center subunit III superfamily,1
MULTISPECIES: aspartyl aminopeptidase,1
ISAs1-like element ISBaov2 family transposase,1
DUF2686 domain-containing protein YjiC,1
DUF5039 domain-containing protein,1
"MULTISPECIES: ISAon1 family transposase N-terminal region protein, partial",1
"NgoMIV family type II restriction endonuclease, partial",1
Type IV methyl-directed restriction enzyme EcoKMcrBC subunit,1
fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,1
multidrug efflux pump/bile salt:H(+) antiporter/Na(+):H(+) antiporter/K(+):H(+) antiporter,1
DUF445 domain-containing protein YjiN,1
putative dehydratase subunit,1
"putative ATPase, activator of (R)-hydroxyglutaryl-CoA dehdratase",1
PF06977 family protein YjiK,1
putative transporter YjiJ,1
ferric-siderophore reductase FhuF,1
Gate family protein YjiG,1
DNA-binding transcriptional dual regulator HypT,1
anti-adaptor protein IraD,1
"molecular chaperone GroES, partial",1
type 1 fimbriae D-mannose specific adhesin,1
type 1 fimbriae minor subunit FimG,1
type 1 fimbriae minor subunit FimF,1
type I fimbriae usher protein,1
type 1 fimbriae periplasmic chaperone,1
putative fimbrial protein FimI,1
type 1 fimbriae major subunit,1
regulator for fimA,1
Type 1 fimbriae regulatory protein FimB,1
N-acetylneuraminate outer membrane channel,1
N-acetylneuraminate mutarotase,1
uncharacterized protein YjiH,1
DNA-binding transcriptional regulator BglJ,1
DNA-binding transcriptional repressor YjjQ,1
putative succinate exporter YjjP,1
putative succinate exporter YjjB,1
ISKra4-like element ISMich2 family transposase,1
DUF3029 domain-containing protein YjjI,1
putative glycyl-radical enzyme activating enzyme YjjW,1
IS256-like element ISOan7 family transposase,1
putative globin,1
IS1595-like element ISOar1 family transposase,1
proteasome-like protein,1
IS256-like element ISOan9 family transposase,1
IS1380-like element ISOan2 family transposase,1
IS256-like element ISOan8 family transposase,1
"oxidoreductase, nitrogenase component 1 and other families superfamily",1
dimethylaminohydrolase,1
galactonate:H(+) symporter,1
methyl-accepting chemotaxis protein Tsr,1
pyruvate:H(+) symporter,1
PF04328 family protein YjiX,1
P-loop guanosine triphosphatase YjiA,1
Type IV methyl-directed restriction enzyme EcoKMrr,1
type I restriction enzyme EcoKI endonuclease subunit,1
type I restriction enzyme EcoKI methylase subunit,1
type I restriction enzyme EcoKI specificity subunit,1
nucleoid-associated protein SymE,1
5-methylcytosine-specific restriction enzyme subunit McrB,1
"zinc finger domain, LSD1 subclass subfamily",1
"tetracycline efflux MFS transporter Tet(C), partial",1
putative phytase,1
flgM-like regulatory protein,1
glycine betaine ABC transporter ATP binding subunit ProV,1
ribonucleoside-diphosphate reductase 2 subunit beta,1
ribonucleoside-diphosphate reductase 2 subunit alpha,1
dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,1
tail-anchored inner membrane protein YgaM,1
MGS domain-containing protein,1
IS4-like element ISMfl1 family transposase,1
MULTISPECIES: IS1182-like element ISMgi3 family transposase,1
flagellar assembly protein FliH/type III secretion system HrpE,1
MULTISPECIES: type III restriction endonuclease subunit M,1
putative antitoxin of the YpjF-YfjZ toxin-antitoxin system,1
cyclically-permuted mutarotase,1
IS1595-like element ISPbu1 family transposase,1
"PF20097 family protein, partial",1
putative transport protein YhgE,1
L-alanine exporter,1
DNA-binding transcriptional repressor StpA with RNA chaperone activity,1
putative DNA-binding transcriptional regulator YgaV,1
Pmp3 family protein YqaE,1
K(+) binding protein,1
DNA-binding transcriptional repressor GlaR,1
4-aminobutanoate:H(+) symporter,1
4-aminobutyrate aminotransferase GabT,1
succinate-semialdehyde dehydrogenase (NADP(+)) GabD,1
L-2-hydroxyglutarate dehydrogenase,1
adhesin-like autotransporter YpjA,1
toxin of the YpjF-YfjZ toxin-antitoxin system,1
type II secretory pathway glycosidase,1
cell wall-binding repeat domain protein,1
DUF2002 domain-containing protein YgaC,1
MULTISPECIES: TIGR04570 family membrane protein,1
YjcQ protein,1
serum amyloid a protein,1
multidrug efflux ABC transporter ATP-binding subunit RanA,1
MULTISPECIES: IS982-like element ISRa1 family transposase,1
stem cell self-renewal protein piwi,1
oligosaccharyl transferase stt3 subunit,1
leucine-rich repeat lipoprotein MbfN,1
MULTISPECIES: MAG6790 family protein,1
"type I restriction-modification system, M subunit",1
IS1182-like element ISTsu3 family transposase,1
IS256-like element ISTsu1 family transposase,1
IS1182-like element ISTsu2 family transposase,1
epidermal growth-factor receptor (egfr) l domain,1
glycine betaine ABC transporter membrane subunit ProW,1
cytochrome c-type protein torc,1
DUF436 domain-containing protein,1
"transcriptional activator, tena family",1
5-methylcytosine restriction system component-like protein,1
ppx/gppa phosphatase,1
tobe domain-containing protein,1
kap p-loop domain-containing protein,1
"transcriptional regulator, XRE family",1
DedA family protein YqaA,1
multidrug efflux pump membrane subunit EmrB,1
multidrug efflux pump membrane fusion protein EmrA,1
DNA-binding transcriptional regulator MprA,1
"L-valine exporter, YgaH component",1
"L-valine exporter, YgaZ component",1
glycine betaine ABC transporter periplasmic binding protein ProX,1
nucleoside-triphosphate--adenylate kinase,1
Penicillin-binding protein dimerization domain-containing protein,1
integrase IntA,1
ribosome association toxin RatA,1
putative component of the Rsx system,1
cytochrome c assembly family protein,1
signal recognition particle protein component,1
lipoprotein YfiB,1
DUF4154 domain-containing protein YfiR,1
"MULTISPECIES: lysozyme family protein, partial",1
"dTDP-6-deoxy-D-glucose-3,5-epimerase",1
DUF2799 domain-containing lipoprotein YfiL,1
"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",1
fused chorismate mutase/prephenate dehydrogenase,1
fused chorismate mutase/prephenate dehydratase,1
glutathione biosynthesis gshAB,1
ribosome-associated inhibitor A,1
23S rRNA pseudouridine(1911/1915/1917) synthase,1
alpha-ketoglutarate:H(+) symporter,1
DUF2279 domain-containing protein YfiM,1
peptidyl-lysine N-acetyltransferase,1
tRNA 3-amino-3-carboxypropyltransferase,1
anti-sigma factor stabilizing protein RseB,1
regulatory protein RseC,1
30S ribosomal subunit biogenesis factor LepA,1
30S ribosomal subunit maturation GTPase Era,1
MULTISPECIES: formate hydrogenlyase maturation protein HycH,1
MULTISPECIES: IS4-like element IS1271 family transposase,1
putative methyltransferase YfiF,1
stress-induced alternate pyruvate formate-lyase subunit,1
phe operon leader peptide,1
DNA-binding transcriptional activator AlpA,1
uncharacterized protein YfjH,1
IS30-like element IS1630 family transposase,1
FeS cluster assembly protein SufD,1
thiamine biosynthesis sulfur transfer protein,1
DNA topoisomerase type IA zn finger domain protein,1
DNA-directed RNA polymerase omega subunit family protein,1
CP4-57 prophage protease,1
putative antirestriction protein,1
uncharacterized protein YfjW,1
uncharacterized protein YfjT,1
inner membrane lipoprotein YfjS,1
putative DNA-binding transcriptional regulator YfjR,1
DUF932 domain-containing protein YfjQ,1
nitrite reductase (NAD(P)H),1
"RNase LS, toxin of the RnlAB toxin-antitoxin system",1
protein YfjM,1
anti-bacteriophage protein,1
putative helicase YfjK,1
protein YfjJ,1
DUF3987 domain-containing protein YfjI,1
DnaJ central domain-containing protein,1
MULTISPECIES: IS1595-like element ISCal1 family transposase,1
baseplate assembly protein v,1
Semialdehyde dehydrogenase NAD --binding protein,1
HEAT domain-containing protein,1
exo-beta-1 3-glucanase-like protein,1
CobB/CobQ domain-containing protein glutamine amidotransferase,1
repeat-companion domain-containing protein,1
coat protein VP1,1
antitoxin RnlB,1
ISAzo13-like element ISKra3 family transposase,1
ISKra4-like element ISKra4 family transposase,1
IS5-like element ISKra1 family transposase,1
endoribonuclease toxin MazF,1
TPM domain-containing protein YgcG,1
putative sugar kinase YgcE,1
putative transport protein YqcE,1
putative transporter YgcS,1
putative anti-terminator regulatory protein,1
putative 4Fe-4S cluster-containing protein,1
"6-carboxy-5,6,7,8-tetrahydropterin synthase",1
"sulfite reductase, flavoprotein subunit",1
ISAs1-like element ISSba2 family transposase,1
"DUF4019 domain-containing protein, partial",1
fructose-1-phosphate phosphatase YqaB,1
IS3-like element ISSba3 family transposase,1
NADP-reducing hydrogenase subunit HndB,1
cell surface receptor IPT/TIG domain protein,1
surface exclusion protein PrgA,1
carotenoid oxygenase,1
"Peptidase M64, IgA",1
carbohydrate binding family 6,1
"sulfite reductase, hemoprotein subunit",1
CRISPR-associated endonuclease/helicase Cas3,1
type I-E CRISPR system Cascade subunit CasA,1
type I-E CRISPR system Cascade subunit CasB,1
type I-E CRISPR system Cascade subunit CasC,1
type I-E CRISPR system Cascade subunit CasD,1
pre-CRISPR RNA endonuclease,1
IS66-like element ISSba7 family transposase,1
23S rRNA 2'-O-ribose C2498 methyltransferase,1
L-fucose:H(+) symporter,1
IS256-like element ISCre2 family transposase,1
putative hydroxypyruvate isomerase,1
"MULTISPECIES: MIP/aquaporin family protein, partial",1
phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain-containing protein,1
PhoP family transcriptional regulator,1
IS200/IS605-like element ISEha1 family transposase,1
"site-specific recombinase, DNA invertase Pin, partial",1
minor structural GP20 protein,1
sporulation and cell division repeat protein,1
antitoxin of the MazF-MazE toxin-antitoxin system MazE,1
MULTISPECIES: type I-G CRISPR-associated protein Cas8g2,1
flap endonuclease,1
Transcriptional regulator PadR,1
L-serine:H(+) symporter,1
nucleotide 5'-monophosphate nucleosidase,1
DUF446 domain-containing protein YqcC,1
tRNA pseudouridine(65) synthase,1
